AirLine_Name,Rating - 10,Title,Name,Date,Review,Recommend,Extracted_Aspects
AirIndia,1.0,service they provide is beyond the worst,J Morten,2024-09-11,air india is the worst airline i have travelled in the last 20 years  i travelled from cochin to toronto via delhi on august 27th on august 28th after reaching toronto i realized 1 of my checked in baggage is missing i filed the report at the airport have been emailing all the india  toronto contacts found called customer care the way these guy reply or respond give a single meaning they dont care i have been getting no unsatisfactory replies or response from the moment i am trying to contact them and today has been 2weeks since reporting to them the level of service they provide is beyond the worst i am consistently emailing the customer care teams and relevant staff at air india if you guys cant take care of the luggages please make sure you revise the baggage policy,0,"['air india', 'the worst airline', 'the last 20 years', 'cochin', 'toronto', 'delhi', 'august 27th', 'august 28th', 'toronto', 'baggage', 'the report', 'the airport', 'all the india  toronto contacts', 'customer care', 'these guy', 'a single meaning', 'no unsatisfactory replies', 'response', 'the moment', '2weeks', 'the level', 'service', 'the customer care teams', 'relevant staff', 'air india', 'you guys', 'care', 'the luggages', 'the baggage policy']"
AirIndia,2.0,i have asked for compensation,P Hashel,2024-09-11,while booking we had booked flexi ticket for my mother from london to heathrow on 7 september 2024 she is 62 yrs old and was feeling slightly nauseated so i pre selected her seat for 17 c in economy by web check in paying 42 pounds extra before boarding she was told that her seat is upgraded to 5 a in business class as she has high value ticket during booking after boarding in 5 a seat ground staff came inside the flight and asked her to shift to 18 c economy by providing a new boarding pass it was near to lavatory already she was feeling nauseating so she asked details of why it is changed after seating in seat she was told this changes happen and she was denied to even seat on her originally booked ticket of 17 c economy  and ultimately she had to seat at a broken seat 10 k in business class to avoid nausea and seat next to lavatory it was basically a selection between backache due to broken seat and nausea due to close to lavatory cabin crew rajkumar and dimpy went out of their way to make her feel comfortable but she developed backache after seating in broken seat and crew of flight told to complain against the ground staff lady we understand it is management and cabin crew right to allow seating but this is not the way of treating a elderly lady for no fault of hers its a recent event and i have asked for compensation lets hope it doesnt fall on deaf ears like others,0,"['flexi ticket', 'my mother', 'london', '7 september', 'her seat', '17 c', 'economy', 'web check', '42 pounds', 'boarding', 'her seat', 'business class', 'high value ticket', 'booking', 'a seat ground staff', 'the flight', '18 c economy', 'a new boarding pass', 'lavatory', 'details', 'seat', 'this changes', 'her originally booked ticket', '17 c economy', 'a broken seat', '10 k', 'business class', 'nausea', 'seat', 'lavatory', 'a selection', 'backache', 'broken seat', 'nausea', 'lavatory cabin crew rajkumar', 'dimpy', 'their way', 'backache', 'seating', 'broken seat', 'crew', 'flight', 'the ground staff lady', 'seating', 'the way', 'a elderly lady', 'no fault', 'its a recent event', 'compensation lets', 'deaf ears', 'others']"
AirIndia,1.0,18 hour delay,Jean-Claude Albrecht,2024-09-11,18 hour delay in reaching my destination extremely poor management of flight delay in london despite 6 hour delay in leaving london and anticipated missed connexon air india insisted that we board the flight to delhi to avoid transferring to another airline then transit passengers had to fight for themselves to obtain a transfer many hours later also no entertainment during flight to delhi broken seat just to name a few additional issues i have requested compensation from air india as i am entitled no news so far but i will fight to get what i am entitled for 520 gbp,0,"['18 hour delay', 'my destination', 'extremely poor management', 'flight delay', 'london', '6 hour delay', 'london', 'missed connexon air india', 'the flight', 'another airline', 'transit passengers', 'a transfer', 'no entertainment', 'flight', 'delhi broken seat', 'a few additional issues', 'compensation', 'air india', 'no news', '520 gbp']"
AirIndia,2.0,annoying frustrating and sad experience ,J Vogelmann,2024-09-11,annoying frustrating and sad experience i wont repeat no idea how this airline can be part of star alliance with their standard being so far behind almost all entertainment screens were broken  dirty floor and seats with stains  no water or toilet paper in the toilets  horrible food especially for people who cant handle spicy or lentils well  seats in a320 ridiculously close to each other got constantly slammed by the guy in front of me this felt even worse than ryanair but theyre at least cheap also there was no entertainment on 4hr flight  security at delhi airport steals your vape and lighter even if you just transit but lets you pass with a custom half liter bottle with an unknown substance i have no understanding for this behaviour at all security also was unfriendly and arrogant absurdly high fees for change of flight data if ticket not eligible for online change 360€ for 1 day later might be like this with other carriers as well but i dont like it actually the only good thing i can say is that you can take 2 big suitcases while air france klm lufthansa  try to rip you off here and offer long distance flight fares even without any luggage which messes up the results of flight search engines i will avoid both indian airports and air india in the future that was by far the lowest standard i have ever experienced by an airline flying to europe,0,"['no idea', 'this airline', 'part', 'star alliance', 'almost all entertainment screens', 'were broken  dirty floor', 'seats', 'stains', 'no water', 'toilet paper', 'the toilets', 'horrible food', 'people', 'spicy', 'well  seats', 'a320', 'the guy', 'front', 'no entertainment', '4hr flight  security', 'delhi airport', 'your vape', 'a custom half liter bottle', 'an unknown substance', 'no understanding', 'this behaviour', 'all security', 'absurdly high fees', 'change', 'flight data', 'ticket', 'online change', 'other carriers', 'the only good thing', '2 big suitcases', 'air france klm lufthansa', 'long distance flight fares', 'any luggage', 'the results', 'flight search engines', 'both indian airports', 'air india', 'the future', 'the lowest standard', 'an airline', 'europe']"
AirIndia,1.0,ancient angled flat seat,Dilip Kumar,2024-09-11,we booked lie flat seats with the new air india airplanes ai 183 from del to sfo but they changed to an old airplane with an ancient angled flat seat which should not even be premium economy they also refused to change to a different flight or upgrade the class of travel claiming very high change fees  even though i had paid 4214 per person this is inspite of me having knee surgery last year making travel hard for me would definitely avoid at all cost  new management has not made them change their ways,0,"['lie flat seats', 'the new air india airplanes', 'del', 'sfo', 'an old airplane', 'an ancient angled flat seat', 'premium economy', 'a different flight', 'the class', 'travel', 'very high change fees', 'person', 'knee surgery', 'travel', 'cost  new management', 'their ways']"
AirIndia,2.0,equipment is super old,Vihar Deshpande,2024-09-11,just horrible there are no hopes for this airline to get better the equipment is super old food quality is close to inedible and ontime performance doesn’t exist,0,"['no hopes', 'this airline', 'the equipment', 'super old food quality', 'performance']"
AirIndia,7.0,crew were quite nice and friendly,N Hashun,2024-09-11,on this flight noticed that in recent times the aircraft was upgraded from an a320 to a321 which resulted in having more seats in y class boarding started on time however there was a slight delay in takeoff for breakfast went with the veg option that had some parathas to eat along with some potatoes which was fine the crew were quite nice and friendly here and we landed on time in mumbai overall for the price paid and the fact that travel was over a weekend there were seats available thankfully which made it all the more easier,1,"['this flight', 'recent times', 'the aircraft', 'an a320', 'a321', 'more seats', 'y class boarding', 'time', 'a slight delay', 'takeoff', 'breakfast', 'the veg option', 'some parathas', 'some potatoes', 'the crew', 'time', 'mumbai', 'the price', 'travel', 'a weekend', 'seats']"
AirIndia,2.0,seats wont recline and handles broken,Chandan Prakash,2024-09-11,travelled from lhr to delhi in august 2024 flight tickets were costly even higher than ba or virgins ticket price two adults and two children were flying what we got an old aircraft with no inflight entertainment system no charging points seats wont recline and handles broken only good thing was that there was a decent leg room space staff behaviour was as one would expect in the economy class when i complained i was told that a new a350 is being procured but how does that help me in a really expensive flight on that day where the 9 hour flight seemed to take forever to reach delhi in this age asking about wifi availability felt as if i came from the moon the quantity of food has been reduced so much now that i have started carrying my own,0,"['lhr', 'delhi', 'august 2024 flight tickets', 'ba', 'ticket price', 'two adults', 'two children', 'an old aircraft', 'no inflight entertainment system', 'no charging points seats', 'only good thing', 'a decent leg room space staff behaviour', 'the economy class', 'a new a350', 'a really expensive flight', 'that day', 'the 9 hour flight', 'this age', 'wifi availability', 'the moon', 'the quantity', 'food']"
AirIndia,1.0,customer care is 1,M Sharp,2024-09-11,worst flight food was garbage totally frustrated no value for money deeply regret flying wit them the reason was because my air canada flight to montreal canceled otherwise i should fly in qatar airways im blaming air canada first never ever go to my destination via delhi from canada i have a dying feeling at the delhi airport customer care is 1,0,"['worst flight food', 'garbage', 'no value', 'money', 'flying wit', 'the reason', 'my air canada flight', 'qatar airways', 'air canada', 'my destination', 'delhi', 'canada', 'a dying feeling', 'the delhi airport customer care']"
AirIndia,1.0,embarrassing and unacceptable,R Maltin,2024-09-11,this is a review and complaint for flight ai 301 departing sydney to london via delhi on 03 jul 24 appalling none of the tvs worked for the duration of my 24 hours flight  two flights two aircraft this was my second flight with air india the return leg of a prebooked ticket and the second time this has happened to me no tvs  no entertainment so there was no excuse this time round i flew over 30 hours from sydney to london via 12 hours layover in delhi this is unacceptable on top of that the toilets were disgusting smelly unkempt eg sticky floors and insecure  the bored flight attendants had a common habit of banging on the doors whilst in use and opening them from the outside even when they were in use and there was no queue of people waiting to use them ambushed on the loo this humiliating experience happened to me three times on one flight it was embarrassing and unacceptable avoid this airline if at all possible,0,"['a review', 'complaint', 'flight', '301 departing sydney', 'london', 'delhi', '03 jul', 'none', 'the tvs', 'the duration', 'my 24 hours flight  two flights two aircraft', 'my second flight', 'air india', 'the return leg', 'a prebooked ticket', 'the second time', 'no tvs', 'no excuse', 'sydney', 'london', 'top', 'the toilets', 'smelly unkempt eg sticky floors', 'the bored flight attendants', 'a common habit', 'the doors', 'use', 'the outside', 'use', 'no queue', 'people', 'the loo', 'this humiliating experience', 'one flight', 'this airline']"
AirIndia,5.0,air india still has lot of work to do,N Vankash,2024-08-27,on 10th july i boarded air india flight ai540 from chennai t4 to delhi t3 for returning to my college there was no issue while boarding the flight as both the ground crew as well the cabin crew were very kind and responsive but the main issue began in the aircraft where my seat 17f a window seat had a broken handle and a loose tray table which in my opinion would have come off with a slight increase in force apart from this the aircraft had a bad odor which made me uncomfortable for the rest of the flight i faced no issue and the food was good along with the cheerful cabin crew but my bad opinion on air india further increased when the flight landed in delhi it took almost 3040 mins of waiting in the aircraft just to deplane after the plane came to a complete stop because of improper communication which lead to a lot of unrest among the passengers leading to a chaotic deplaning experience finally i say that air india still has lot of work to do especially in terms of aircraft maintenance and proper coordination with ground services,0,"['10th july', 'air india flight', 'ai540', 'chennai t4', 'delhi t3', 'my college', 'no issue', 'the flight', 'both the ground crew', 'the cabin crew', 'the main issue', 'the aircraft', 'my seat', '17f', 'a window seat', 'a broken handle', 'a loose tray table', 'my opinion', 'a slight increase', 'force', 'the aircraft', 'a bad odor', 'the rest', 'the flight', 'no issue', 'the food', 'the cheerful cabin crew', 'my bad opinion', 'air india', 'the flight', 'almost 3040 mins', 'the aircraft', 'the plane', 'a complete stop', 'improper communication', 'a lot', 'unrest', 'the passengers', 'a chaotic deplaning experience', 'air india', 'lot', 'work', 'terms', 'aircraft maintenance', 'proper coordination', 'ground services']"
AirIndia,1.0,worst airline available,Tanmoy Mukherjee,2024-08-27,worst airline available in india never book with them they charge handsome amount for select seats and change that in the last minute no grievance redressal system available the ai assistant is of no work,0,"['worst airline', 'india', 'handsome amount', 'select seats', 'the last minute', 'no grievance redressal system', 'the ai assistant', 'no work']"
AirIndia,1.0,the worst experience,Seema Malik,2024-08-27,it was the worst experience and feels like the biggest mistake of our lives for booking with air india we booked our round trip tickets in january and cancellation was done by air india in may after banging our head with their customer executives finally we got one way ticket and partial return ticket upto delhi only with pending kuwait ticket then the horrendous journey started for the return flight they kept coming up with excuses for providing return ticket with assurance that we will get on alternate flight on air india express which never happened everyday we lost 1 to 2 hours on phone with their customer executives for 1 month till 5 days were left for our return finally we had to book on another airlines with triple the cost and peanuts as refund from air india i explained in detail so that no one else will fall in their trap hope it serves the purpose,0,"['the worst experience', 'the biggest mistake', 'our lives', 'air india', 'our round trip tickets', 'january', 'cancellation', 'air india', 'may', 'our head', 'their customer executives', 'one way ticket', 'partial return ticket upto delhi', 'pending kuwait ticket', 'the horrendous journey', 'the return flight', 'excuses', 'return ticket', 'assurance', 'alternate flight', 'air india express', '1 to 2 hours', 'phone', 'their customer executives', '1 month', '5 days', 'our return', 'another airlines', 'triple the cost', 'peanuts', 'air india', 'detail', 'no one', 'their trap hope', 'the purpose']"
AirIndia,1.0,it was a horrible experience,Sharika Qureshi,2024-08-27,i was flying from tokyo narita  to dubai via delhi the checkin lady made a mistake in entering my information that they were not able to let me board even though i could have missed my flight my bags were re checked that maybe the red mark was because of that but nothing from my end the manager had to come and manually fix the error in the system the plane landed 1 hour 20 minutes earlier than the scheduled time in delhi but there was no ground staff so all of us were stuck in the plane for 1 hour 20 minutes without an ac the tv was not working remote was broken and so were the buttons the flight was for 85 hours and i cannot sleep on the plane so it was a horrible experience,0,"['tokyo narita', 'delhi', 'the checkin lady', 'a mistake', 'my information', 'my flight', 'my bags', 'the red mark', 'my end', 'the manager', 'the error', 'the system', 'the plane', 'the scheduled time', 'no ground staff', 'the plane', '1 hour', 'an ac the tv', 'the buttons', 'the flight', '85 hours', 'the plane', 'a horrible experience']"
AirIndia,1.0,bags were delayed by 2 weeks,T Garmina,2024-08-27,our bags were delayed by 2 weeks leaving us with no belongings for the entire length of our break over 10 hours were spent daily on the phone with €600 spent on replacement clothesitems air india offered only us100 compensation citing a policy they do not share publicly despite legal obligations to cover reasonable costs,0,"['our bags', '2 weeks', 'no belongings', 'the entire length', 'our break', 'over 10 hours', 'the phone', 'replacement clothesitems', 'air india', 'only us100 compensation', 'a policy', 'legal obligations', 'reasonable costs']"
AirIndia,1.0,no concern for consumers,N Darten,2024-08-27,pathetic service had taken air india to fly from australia to europe return pathetic is actually like giving 5 stars no words to describe entertainment unit not working on all 4 flights taken reason technical glitch poorest customer service staff seems least bothered of any request cant provide food requested except apologies no concern for consumers travelling even when there request assistance button not working not just for our seat but for most of economy but staff seems least concerned staff making faces which makes you feel you did a terrible mistake by making a request poor air conditioning and sweating while take off  response is once we start flying and reach the altitude ac will be switched on never again i wish it is closed or shut down so that people dont feel cheated at 33000ft,0,"['pathetic service', 'air india', 'australia', 'europe', '5 stars', 'no words', 'entertainment unit', 'all 4 flights', 'reason technical glitch', 'poorest customer service staff', 'any request', 'food', 'apologies', 'no concern', 'consumers', 'assistance button', 'our seat', 'economy', 'staff', 'staff', 'faces', 'a terrible mistake', 'a request poor air conditioning', 'sweating', 'response', 'the altitude', 'ac', 'people', '33000ft']"
AirIndia,1.0,12hour flight without a working screen,Johanna Gomez,2024-08-27,will never fly with air india again itinerary was new delhi to gold coast stopping in melbourne for a transfer i confirmed multiple times that i did not have to pass through customs in melbourne to reach the gold coast and they assured me this was the case i would only need to collect my luggage on the gc what went wrong  they charge premium prices and not even have working entertainment on board that works i was on a 12hour flight without a working screen like most people  super uncomfortable seats  2 delays  lost my luggage conclusion make yourself a favour and not fly with these guys so unreliable they charge premium prices and the service is equal or far lower than budget airlines,0,"['air india', 'melbourne', 'a transfer', 'customs', 'melbourne', 'the gold coast', 'the case', 'my luggage', 'the gc', 'premium prices', 'working entertainment', 'board', 'a 12hour flight', 'a working screen', 'super uncomfortable seats', 'my luggage conclusion', 'these guys', 'premium prices', 'the service', 'budget airlines']"
AirIndia,2.0,get your act together,C Ranaja,2024-08-27,if air india has such lousy inflight entertainment usually the entire system doesnt work or when it does it offers little in terms of options then they at least need to have phonetablet charging outlets on longhaul flights so people can keep their devices charged in order to watch content they downloaded beforehand its a nobrainer get your act together air india,0,"['air india', 'such lousy inflight entertainment', 'the entire system', 'terms', 'options', 'phonetablet', 'outlets', 'longhaul flights', 'people', 'their devices', 'order', 'content', 'your act']"
AirIndia,1.0,avoid flying air india,Noel Francis Lukwaro,2024-08-27,the plane was so old and broken everything was broken old and falling apart the flight we had was 8 hours long and there was no inflight entertainment  the screens were just black the joke was that no one from their captain to air hostess apologized for this inconvenience and when we asked they said that they would come back with some magazines  never happened as a cherry on the top of this horrendous experience the toilet door got jammed and their supervisor had to break the door in for me to come out he had the audacity to ask me how i got stuck and i was able to show him how ridiculously broken the door was avoid flying air india at all cost  you deserve better,0,"['the plane', 'no inflight entertainment', 'the screens', 'the joke', 'no one', 'their captain', 'air hostess', 'this inconvenience', 'some magazines', 'a cherry', 'the top', 'this horrendous experience', 'the toilet door', 'their supervisor', 'the door', 'the audacity', 'the door', 'air india']"
AirIndia,1.0,didnt bother refunding my money,Ashna John,2024-08-27,i requested to cancel my ticket and had to deal with very irresponsible and bad customer service and lost my money though i raised request to cancel my ticket before required time they made excuses and closed my request without asking me and didnt bother refunding my money,0,"['my ticket', 'very irresponsible and bad customer service', 'my money', 'request', 'my ticket', 'required time', 'excuses', 'my request', 'my money']"
AirIndia,1.0,air india do not care,J Horsman,2024-07-19,the worst flight i have ever been on i had a 13 hour journey from delhi to melbourne my entertainment screen and my reading light didn’t work meaning i had to endure 13 hours without any distraction other than the seat in front of me around half of the travellers appeared to have the same issue which resulted in an unpleasant atmosphere on the plane itself to make matters worse i submitted an email to air india ahead of flying regarding a severe allergy i have at no point did i receive a response and i was later served food with my allergen in thankfully i realised and didn’t eat it but it was crystal clear from the beginning that air india do not care about the customer experience  despite the fact that i paid four figures for my flights,0,"['the worst flight', 'a 13 hour journey', 'my entertainment screen', 'my reading light', '13 hours', 'any distraction', 'the seat', 'front', 'half', 'the travellers', 'the same issue', 'an unpleasant atmosphere', 'the plane', 'matters', 'an email', 'air india', 'a severe allergy', 'no point', 'a response', 'food', 'my allergen', 'the beginning', 'air india', 'the customer experience', 'the fact', 'four figures', 'my flights']"
AirIndia,2.0,no proper information to the travellers,Devinder Pal Singh,2024-07-19,it is one of the worst airlines in the industry 5 hrs flight from singapore to delhi is already delayed by more than 2 hours  no proper information to the travellers,0,"['the worst airlines', 'the industry 5 hrs flight', 'singapore', 'delhi', 'more than 2 hours', 'no proper information', 'the travellers']"
